1024,56242104.685011
2048,292759631.191480
3072,134271602.779842
4096,202306571.506186
5120,399906271.967508
6144,121966471.131227
7168,359073262.366938
8192,289188950.666314
9216,634470414.099343
10240,687086925.889892
11264,454872188.345515
12288,782500716.400802
13312,802774008.744158
14336,885047536.732930
15360,1286593793.190099
16384,1311874449.515574
17408,814828683.767085
18432,1216473072.861668
19456,1606738789.330250
20480,1764148505.469894
21504,1382716049.382716
22528,1736797471.282091
23552,1667634355.306946
24576,1899594202.898551
25600,797408422.626464
26624,1132550621.065169
27648,2229227978.230196
28672,2365091149.055514
29696,2429518121.574082
30720,2437901753.829061
31744,1340653771.433398
32768,2095274633.928000
